0,0x338220,2108,
1,0x338A5C,228,
2,0x338B40,2912,
3,0x3396A0,1476,
4,0x339C64,3800,
5,0x33AB3C,3800,
6,0x33BA14,3800,
7,0x33C8EC,572,
8,0x33CB28,60740,
9,0x34B86C,1136,
10,0x34BCDC,704,
11,0x34BF9C,448,
12,0x34C15C,1776,
13,0x34C84C,892,
14,0x34CBC8,624,
15,0x34CE38,956,
16,0x34D1F4,880,
17,0x34D564,1008,
18,0x34D954,2580,
19,0x34E368,310676,
20,0x39A0FC,13632,
21,0x39D63C,22116,
22,0x3A2CA0,19328,
23,0x3A7820,17648,
24,0x3ABD10,16436,
25,0x3AFD44,50172,
26,0x3BC140,310588,
27,0x407E7C,556,
28,0x4080A8,556,
29,0x4082D4,556,
30,0x408500,556,
31,0x40872C,448,
32,0x4088EC,556,
33,0x408B18,556,
34,0x408D44,556,
35,0x408F70,556,
36,0x40919C,1200,
37,0x40964C,2620,
38,0x40A088,1436,
39,0x40A624,448,Plus MP
40,0x40A7E4,1416,
41,0x40AD6C,704,
42,0x40B02C,704,
43,0x40B2EC,704,
44,0x40B5AC,704,
45,0x40B86C,704,
46,0x40BB2C,704,
47,0x40BDEC,3648,
48,0x40CC2C,1416,
49,0x40D1B4,1416,
50,0x40D73C,1416,
51,0x40DCC4,1416,
52,0x40E24C,1416,
53,0x40E7D4,1416,
54,0x40ED5C,856,
55,0x40F0B4,704,
56,0x40F374,704,
57,0x40F634,704,
58,0x40F8F4,704,
59,0x40FBB4,704,
60,0x40FE74,984,
61,0x41024C,26056,
62,0x416814,7124,
63,0x4183E8,6428,
64,0x419D04,11100,
65,0x41C860,18768,
66,0x4211B0,2104,
67,0x4219E8,232,
68,0x421AD0,6052,
69,0x423274,4640,
70,0x424494,8400,
71,0x426564,15624,
72,0x42A26C,21288,
73,0x42F594,10072,
74,0x431CEC,25592,
75,0x4380E4,537212,
76,0x4BB360,5320,
77,0x4BC828,4740,
78,0x4BDAAC,6412,
79,0x4BF3B8,10580,
80,0x4C1D0C,10580,
81,0x4C4660,6072,
82,0x4C5E18,56,
83,0x4C5E50,3416,
84,0x4C6BA8,56,
85,0x4C6BE0,3416,
86,0x4C7938,22964,
87,0x4CD2EC,736,
88,0x4CD5CC,13916,
89,0x4D0C28,9640,
90,0x4D31D0,9392,
91,0x4D5680,676,
92,0x4D5924,956,
93,0x4D5CE0,56,
94,0x4D5D18,2432,
95,0x4D6698,2432,
96,0x4D7018,7368,
97,0x4D8CE0,17624,
98,0x4DD1B8,328,
99,0x4DD300,12804,
100,0x4E0504,37916,
101,0x4E9920,188,
102,0x4E99DC,28456,
103,0x4F0904,11880,
104,0x4F376C,188,
105,0x4F3828,56,
106,0x4F3860,21868,
107,0x4F8DCC,28080,
108,0x4FFB7C,33604,
109,0x507EC0,20184,
110,0x50CD98,134696,
111,0x52DBC0,6132,
112,0x52F3B4,56,
113,0x52F3EC,28024,
114,0x536164,2424,
115,0x536ADC,4520,
116,0x537C84,10656,
117,0x53A624,56,
118,0x53A65C,1048,
119,0x53AA74,32004,
120,0x542778,26968,
121,0x5490D0,6916,
122,0x54ABD4,316,
123,0x54AD10,124,
124,0x54AD8C,776,
125,0x54B094,2316,
126,0x54B9A0,1060,
127,0x54BDC4,56,
128,0x54BDFC,3956,
129,0x54CD70,9816,
130,0x54F3C8,5884,
131,0x550AC4,1276,
132,0x550FC0,4660,
